"Branch_Code","normal_clid_count","hr_clid_count","lat_1","lon_1","lat_2","lon_2","lat_3","lon_3","lat_4","lon_4"
"potential_265",46,0,47.5601409413809,34.378594972212,47.5601409413809,34.387594972212,47.5691409413809,34.387594972212,47.5691409413809,34.378594972212
"potential_266",35,0,47.5601249579549,34.3799238895514,47.5601249579549,34.3889238895514,47.5691249579549,34.3889238895514,47.5691249579549,34.3799238895514
"potential_271",50,1,47.5600448099299,34.3865684590079,47.5600448099299,34.3955684590079,47.5690448099299,34.3955684590079,47.5690448099299,34.3865684590079
"potential_272",61,1,47.5600287341461,34.3878973694433,47.5600287341461,34.3968973694433,47.5690287341461,34.3968973694433,47.5690287341461,34.3878973694433
"potential_273",109,8,47.5599481243358,34.3945419042806,47.5599481243358,34.4035419042806,47.5689481243358,34.4035419042806,47.5689481243358,34.3945419042806
"potential_274",85,9,47.5599319561956,34.3958708077724,47.5599319561956,34.4048708077724,47.5689319561956,34.4048708077724,47.5689319561956,34.3958708077724
"potential_275",88,9,47.5599157726628,34.397199710103,47.5599157726628,34.406199710103,47.5689157726628,34.406199710103,47.5689157726628,34.397199710103
"potential_276",70,4,47.5598995737374,34.3985286112713,47.5598995737374,34.4075286112713,47.5688995737374,34.4075286112713,47.5688995737374,34.3985286112713
"potential_277",71,3,47.5598833594195,34.3998575112763,47.5598833594195,34.4088575112763,47.5688833594195,34.4088575112763,47.5688833594195,34.3998575112763
"potential_278",71,4,47.559867129709,34.4011864101169,47.559867129709,34.4101864101169,47.568867129709,34.4101864101169,47.568867129709,34.4011864101169
"potential_279",62,4,47.559850884606,34.4025153077918,47.559850884606,34.4115153077918,47.568850884606,34.4115153077918,47.568850884606,34.4025153077918
"potential_280",54,3,47.5598346241106,34.4038442043002,47.5598346241106,34.4128442043002,47.5688346241106,34.4128442043002,47.5688346241106,34.4038442043002
"potential_281",38,2,47.5598183482227,34.4051730996407,47.5598183482227,34.4141730996407,47.5688183482227,34.4141730996407,47.5688183482227,34.4051730996407
"potential_286",184,8,47.561341238309296,34.3533684965076,47.561341238309296,34.3623684965076,47.5703412383093,34.3623684965076,47.5703412383093,34.3533684965076
"potential_287",173,8,47.5613255468658,34.354697458183,47.5613255468658,34.363697458183,47.5703255468658,34.363697458183,47.5703255468658,34.354697458183
"potential_288",171,8,47.5613098400281,34.3560264187315,47.5613098400281,34.3650264187315,47.5703098400281,34.3650264187315,47.5703098400281,34.3560264187315
"potential_289",171,9,47.5612941177964,34.3573553781518,47.5612941177964,34.3663553781518,47.5702941177964,34.3663553781518,47.5702941177964,34.3573553781518
"potential_290",153,8,47.5612783801705,34.3586843364429,47.5612783801705,34.3676843364429,47.5702783801705,34.3676843364429,47.5702783801705,34.3586843364429
"potential_291",155,8,47.5612626271506,34.3600132936037,47.5612626271506,34.3690132936037,47.5702626271506,34.3690132936037,47.5702626271506,34.3600132936037
"potential_292",156,8,47.5612468587367,34.3613422496331,47.5612468587367,34.3703422496331,47.5702468587367,34.3703422496331,47.5702468587367,34.3613422496331
"potential_297",37,2,47.5611677857581,34.3679870127702,47.5611677857581,34.3769870127702,47.5701677857581,34.3769870127702,47.5701677857581,34.3679870127702
"potential_298",34,2,47.5611519249808,34.3693159619879,47.5611519249808,34.3783159619879,47.5701519249808,34.3783159619879,47.5701519249808,34.3693159619879
"potential_299",63,0,47.5611360488098,34.3706449100664,47.5611360488098,34.3796449100664,47.5701360488098,34.3796449100664,47.5701360488098,34.3706449100664
"potential_300",73,0,47.5611201572449,34.371973857004804,47.5611201572449,34.380973857004804,47.5701201572449,34.380973857004804,47.5701201572449,34.371973857004804
"potential_301",87,0,47.5611042502864,34.3733028028017,47.5611042502864,34.3823028028017,47.5701042502864,34.3823028028017,47.5701042502864,34.3733028028017
"potential_302",85,0,47.5610883279342,34.3746317474563,47.5610883279342,34.3836317474563,47.5700883279342,34.3836317474563,47.5700883279342,34.3746317474563
"potential_303",83,0,47.5610723901884,34.3759606909672,47.5610723901884,34.3849606909672,47.5700723901884,34.3849606909672,47.5700723901884,34.3759606909672
"potential_304",68,0,47.5610564370489,34.3772896333335,47.5610564370489,34.3862896333335,47.5700564370489,34.3862896333335,47.5700564370489,34.3772896333335
"potential_305",63,0,47.5610404685159,34.378618574554096,47.5610404685159,34.3876185745541,47.5700404685159,34.3876185745541,47.5700404685159,34.378618574554096
"potential_306",54,0,47.561024484589296,34.3799475146277,47.561024484589296,34.3889475146277,47.5700244845893,34.3889475146277,47.5700244845893,34.3799475146277
